SE COLINAS FID=SEL-421-R117-V0-Z007007-D20060413
41:47,5
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
0, -486.99874, 204.875332, 308.992304, -436.23865, 230.897339, 205.753505, 0
0.03, -483.640128, 130.985868, 369.44732, -432.048011, 157.458108, 273.902913, 0
0.06, -443.336784, 60.455016, 413.109276, -412.262699, 80.240432, 334.083237, 0
0.09, -396.316216, -40.303344, 450.054008, -375.302637, -4.80893, 380.180266, 0
0.12, -312.350916, -151.13754, 476.922904, -328.656016, -87.453827, 414.804562, 0
0.15, -241.820064, -251.8959, 497.074576, -270.193167, -164.534105, 432.872399, 0
0.18, -151.13754, -332.502588, 497.074576, -200.738478, -240.377801, 436.032553, 0
0.21, -70.530852, -399.674828, 473.564292, -126.818354, -303.237386, 426.208596, 0
0.24, 23.510284, -436.61956, 446.695396, -44.448253, -356.960004, 396.255832, 0
0.27, 110.834196, -470.20568, 386.24038, 39.501925, -399.965578, 355.448626, 0
0.3, 204.875332, -490.357352, 312.350916, 118.84927, -426.277295, 305.573152, 0
0.33, 298.916468, -493.715964, 231.744228, 197.372227, -438.711814, 239.622112, 0
0.36, 362.730096, -490.357352, 134.34448, 267.033013, -434.452476, 170.098724, 0
0.39, 423.185112, -463.488456, 60.455016, 328.106424, -414.461067, 90.957476, 0
0.42, 460.129844, -419.8265, -33.58612, 376.401821, -380.798557, 6.801201, 0
0.45, 483.640128, -349.295648, -124.268644, 410.613923, -332.777956, -73.50793, 0
0.48, 503.7918, -255.254512, -238.461452, 431.910613, -276.788271, -154.297954, 0
0.51, 500.433188, -174.647824, -312.350916, 436.513446, -208.570164, -228.286777, 0
0.54, 493.715964, -83.9653, -389.598992, 427.857372, -133.413458, -294.375215, 0
0.57, 436.61956, -3.358612, -416.467888, 401.957849, -54.340909, -350.433599, 0
0.6, 379.523156, 87.323912, -456.771232, 360.188857, 32.082433, -392.614785, 0
0.63, 305.633692, 198.158108, -476.922904, 310.862975, 112.528962, -423.117141, 0
0.66, 221.668392, 295.557856, -490.357352, 247.934691, 189.265745, -435.139466, 0
0.69, 141.061704, 362.730096, -490.357352, 177.312119, 262.361481, -434.589874, 0
0.72, 53.737792, 416.467888, -453.41262, 101.124928, 321.030427, -419.338696, 0
0.75, -30.227508, 456.771232, -413.109276, 16.281663, 372.760774, -383.821313, 0
0.78, -130.985868, 486.99874, -352.65426, -65.195351, 409.995632, -341.43403, 0
0.81, -225.027004, 503.7918, -272.047572, -144.886191, 431.42972, -285.925238, 0
0.84, -305.633692, 500.433188, -191.440884, -221.348178, 438.711814, -217.08884, 0
0.87, -372.805932, 493.715964, -100.75836, -287.574014, 428.68176, -146.122773, 0
0.9, -423.185112, 460.129844, -23.510284, -344.731582, 404.568411, -63.477876, 0
0.93, -463.488456, 409.750664, 60.455016, -388.973738, 366.234369, 19.441817, 0
0.96, -490.357352, 322.426752, 171.289212, -419.338696, 315.259711, 99.407453, 0
0.99, -493.715964, 238.461452, 272.047572, -434.933369, 255.354183, 178.960895, 0
1.02, -476.922904, 154.496152, 345.937036, -435.414262, 184.319417, 250.270457, 0
1.05, -466.847068, 67.17224, 382.881768, -421.468365, 108.132226, 314.366624, 0
1.08, -416.467888, -10.075836, 439.978172, -390.279019, 26.586513, 365.47868, 0
1.11, -339.219812, -117.55142, 466.847068, -345.830766, -59.012441, 403.95012, 0
1.14, -268.68896, -211.592556, 493.715964, -292.795138, -137.054505, 428.68176, 0
1.17, -191.440884, -302.27508, 503.7918, -225.951011, -213.859987, 436.032553, 0
1.2, -97.399748, -369.44732, 486.99874, -154.091857, -282.490288, 431.841914, 0
1.23, -20.151672, -423.185112, 453.41262, -74.675813, -338.342575, 409.102545, 0
1.26, 80.606688, -456.771232, 403.03344, 9.961355, -386.569273, 370.631105, 0
1.29, 178.006436, -493.715964, 332.502588, 90.339185, -418.37691, 325.358464, 0
1.32, 265.330348, -493.715964, 255.254512, 169.411734, -435.414262, 264.353752, 0
1.35, 339.219812, -486.99874, 171.289212, 243.469256, -438.162222, 195.379956, 0
1.38, 406.392052, -470.20568, 87.323912, 306.947132, -422.636248, 120.635444, 0
1.41, 443.336784, -429.902336, 3.358612, 360.326255, -394.538357, 36.41047, 0
1.44, 486.99874, -369.44732, -100.75836, 399.553384, -351.257987, -44.723049, 0
1.47, 497.074576, -285.48202, -201.51672, 426.208596, -297.741466, -125.581772, 0
1.5, 500.433188, -188.082272, -295.557856, 436.513446, -234.332289, -203.142943, 0
1.53, 490.357352, -114.192808, -359.371484, 432.391506, -160.824359, -270.880157, 0
1.56, 456.771232, -43.661956, -409.750664, 413.499281, -83.744081, -332.090966, 0
1.59, 399.674828, 57.096404, -429.902336, 375.989627, 1.167883, -378.600189, 0
1.62, 342.578424, 157.854764, -476.922904, 330.029996, 84.293673, -413.842776, 0
1.65, 241.820064, 255.254512, -490.357352, 271.841943, 161.236553, -432.941098, 0
1.68, 174.647824, 349.295648, -483.640128, 202.799448, 237.423744, -435.757757, 0
1.71, 94.041136, 409.750664, -473.564292, 129.497615, 300.832921, -427.513877, 0
1.74, 6.717224, 439.978172, -436.61956, 47.539708, 354.761636, -397.973307, 0
1.77, -94.041136, 483.640128, -379.523156, -36.547868, 398.935093, -357.028703, 0
1.8, -191.440884, 503.7918, -298.916468, -116.032611, 425.178111, -308.183714, 0
1.83, -285.48202, 513.867636, -221.668392, -194.830364, 438.093523, -242.026577, 0
1.86, -349.295648, 503.7918, -137.703092, -264.353752, 434.246379, -172.571888, 0
1.89, -409.750664, 476.922904, -47.020568, -325.908056, 414.735863, -94.186329, 0
1.92, -443.336784, 429.902336, 36.944732, -374.821744, 381.829042, -9.549161, 0
1.95, -473.564292, 362.730096, 134.34448, -410.13303, 334.770227, 70.210378, 0
1.98, -490.357352, 268.68896, 241.820064, -431.361021, 278.162251, 151.069101, 0
2.01, -497.074576, 188.082272, 332.502588, -436.650844, 210.974629, 225.951011, 0
2.04, -470.20568, 97.399748, 403.03344, -428.406964, 136.02402, 292.108148, 0
2.07, -436.61956, 23.510284, 423.185112, -403.469227, 57.157568, 348.716124, 0
2.1, -372.805932, -80.606688, 453.41262, -362.387225, -29.197075, 391.103407, 0
2.13, -302.27508, -184.72366, 483.640128, -313.336139, -109.368808, 421.949258, 0
2.16, -214.951168, -285.48202, 500.433188, -251.43834, -186.105591, 435.002068, 0
2.19, -130.985868, -352.65426, 490.357352, -180.197477, -259.819618, 434.521175, 0
2.22, -50.37918, -403.03344, 473.564292, -104.216383, -318.969457, 419.819589, 0
2.25, 40.303344, -450.054008, 419.8265, -20.128807, -370.699804, 384.920497, 0
2.28, 130.985868, -476.922904, 359.371484, 61.691702, -409.033846, 343.082806, 0
2.31, 231.744228, -493.715964, 275.406184, 141.588639, -431.154924, 288.261004, 0
2.34, 322.426752, -486.99874, 204.875332, 218.188024, -439.055309, 220.042897, 0
2.37, 386.24038, -483.640128, 117.55142, 285.032151, -430.193138, 149.351626, 0
2.4, 433.260948, -460.129844, 40.303344, 342.876709, -406.560682, 67.050224, 0
2.43, 473.564292, -389.598992, -50.37918, 387.324962, -368.638834, -16.075566, 0
2.46, 500.433188, -319.06814, -161.213376, 418.239512, -317.801574, -96.315998, 0
2.49, 486.99874, -231.744228, -265.330348, 434.658573, -258.514337, -176.212935, 0
2.52, 493.715964, -144.420316, -332.502588, 434.933369, -187.754367, -247.110303, 0
2.55, 473.564292, -63.813628, -392.957604, 422.636248, -111.97937, -311.824761, 0
2.58, 423.185112, 16.79306, -433.260948, 391.103407, -30.364958, -363.41771, 0
2.61, 359.371484, 120.910032, -456.771232, 347.342144, 55.714889, -402.370043, 0
2.64, 282.123408, 225.027004, -480.281516, 294.443914, 134.031749, -428.475663, 0
2.67, 198.158108, 322.426752, -493.715964, 228.149379, 211.043328, -435.826456, 0
2.7, 127.627256, 386.24038, -476.922904, 156.839817, 279.948425, -432.460205, 0
2.73, 33.58612, 436.61956, -446.695396, 77.698569, 336.075508, -410.888719, 0
2.76, -60.455016, 470.20568, -392.957604, -7.419492, 385.057895, -372.142483, 0
2.79, -161.213376, 510.509024, -339.219812, -87.385128, 417.209027, -327.969026, 0
2.82, -248.537288, 507.150412, -248.537288, -166.93857, 434.933369, -267.033013, 0
2.85, -322.426752, 507.150412, -164.571988, -240.652597, 437.475232, -197.647023, 0
2.88, -386.24038, 486.99874, -83.9653, -304.748764, 422.979743, -123.795598, 0
2.91, -439.978172, 450.054008, -6.717224, -358.471382, 395.294046, -39.639323, 0
2.94, -463.488456, 382.881768, 100.75836, -398.797695, 352.700666, 41.425497, 0
2.97, -483.640128, 308.992304, 211.592556, -425.521606, 299.733737, 122.421618, 0
3, -483.640128, 214.951168, 298.916468, -436.307349, 236.32456, 200.120187, 0
3.03, -476.922904, 124.268644, 372.805932, -432.872399, 163.434921, 268.956585, 0
3.06, -453.41262, 57.096404, 413.109276, -414.392368, 86.217245, 330.029996, 0
3.09, -392.957604, -33.58612, 443.336784, -378.668888, 2.06097, 377.432306, 0
3.12, -325.785364, -144.420316, 486.99874, -332.228364, -81.408315, 412.606194, 0
3.15, -251.8959, -241.820064, 500.433188, -275.208194, -158.282496, 431.979312, 0
3.18, -164.571988, -329.143976, 497.074576, -206.097, -234.95058, 436.101252, 0
3.21, -77.248076, -379.523156, 476.922904, -132.726468, -298.771951, 427.651275, 0
3.24, 10.075836, -429.902336, 443.336784, -51.180755, -352.769365, 399.14119, 0
3.27, 100.75836, -460.129844, 382.881768, 33.387714, -397.492414, 358.746178, 0
3.3, 208.233944, -486.99874, 312.350916, 112.803758, -424.491121, 310.175985, 0
3.33, 298.916468, -497.074576, 238.461452, 191.738909, -438.230921, 244.980634, 0
3.36, 362.730096, -490.357352, 154.496152, 262.086685, -435.345563, 175.525945, 0
3.39, 416.467888, -453.41262, 63.813628, 323.915785, -416.31594, 97.483881, 0
3.42, 453.41262, -413.109276, -23.510284, 372.966871, -383.821313, 12.984111, 0
3.45, 486.99874, -352.65426, -114.192808, 408.484254, -337.037294, -66.981525, 0
3.48, 507.150412, -258.613124, -218.30978, 430.811429, -281.253706, -148.046345, 0
3.51, 503.7918, -171.289212, -305.633692, 436.513446, -214.066084, -222.653459, 0
3.54, 483.640128, -94.041136, -366.088708, 429.093954, -139.321572, -289.22279, 0
3.57, 443.336784, -6.717224, -403.03344, 404.911906, -60.867314, -346.861251, 0
3.6, 382.881768, 87.323912, -450.054008, 363.692506, 25.212533, -389.592029, 0
3.63, 312.350916, 184.72366, -480.281516, 315.397109, 106.48345, -421.743161, 0
3.66, 231.744228, 288.840632, -500.433188, 253.155815, 183.082835, -434.727272, 0
3.69, 147.778928, 366.088708, -486.99874, 183.014136, 257.140357, -435.208165, 0
3.72, 63.813628, 416.467888, -466.847068, 107.307838, 316.908487, -421.537064, 0
3.75, -30.227508, 453.41262, -416.467888, 23.014165, 368.982329, -386.981467, 0
3.78, -117.55142, 486.99874, -366.088708, -58.943742, 407.522468, -345.006378, 0
3.81, -221.668392, 507.150412, -275.406184, -138.77198, 430.467934, -290.940265, 0
3.84, -298.916468, 507.150412, -188.082272, -215.783559, 438.780513, -222.309964, 0
3.87, -369.44732, 493.715964, -107.475584, -282.558987, 430.261837, -152.236984, 0
3.9, -413.109276, 463.488456, -30.227508, -341.227933, 406.835478, -70.141679, 0
3.93, -460.129844, 409.750664, 53.737792, -385.813584, 369.60062, 13.396305, 0
3.96, -483.640128, 332.502588, 164.571988, -417.964716, 319.793845, 93.224543, 0
3.99, -497.074576, 245.178676, 268.68896, -434.040282, 260.712705, 173.327577, 0
4.02, -480.281516, 161.213376, 342.578424, -435.895155, 190.158832, 245.049333, 0
4.05, -456.771232, 80.606688, 396.316216, -423.117141, 114.452534, 309.626393, 0
4.08, -413.109276, -6.717224, 429.902336, -393.026979, 32.700724, 362.112429, 0
4.11, -352.65426, -107.475584, 466.847068, -349.471813, -52.554735, 401.270859, 0
4.14, -282.123408, -201.51672, 500.433188, -297.191874, -131.008993, 427.582576, 0
4.17, -191.440884, -302.27508, 497.074576, -231.721727, -208.020572, 435.895155, 0
4.2, -117.55142, -369.44732, 490.357352, -159.587777, -277.750057, 432.597603, 0
4.23, -30.227508, -416.467888, 456.771232, -81.339616, -334.289334, 411.644408, 0
4.26, 73.889464, -453.41262, 403.03344, 3.847144, -383.615216, 373.585162, 0
4.29, 167.9306, -490.357352, 345.937036, 83.881479, -416.522037, 329.549103, 0
4.32, 258.613124, -486.99874, 255.254512, 163.778416, -435.002068, 269.574876, 0
4.35, 339.219812, -486.99874, 174.647824, 237.904637, -438.368319, 200.738478, 0
4.38, 399.674828, -473.564292, 97.399748, 302.550396, -424.422422, 126.955752, 0
4.41, 446.695396, -436.61956, 16.79306, 356.822606, -397.217618, 43.074273, 0
4.44, 476.922904, -369.44732, -83.9653, 397.011521, -354.967733, -38.402741, 0
4.47, 500.433188, -295.557856, -194.799496, 424.765917, -302.000804, -119.467561, 0
4.5, 507.150412, -204.875332, -282.123408, 436.307349, -239.828209, -197.440926, 0
4.53, 490.357352, -120.910032, -349.295648, 433.147195, -166.388978, -265.727732, 0
4.56, 460.129844, -40.303344, -399.674828, 416.041144, -89.720894, -328.38122, 0
4.59, 413.109276, 50.37918, -439.978172, 379.287179, -5.702017, -375.233938, 0
4.62, 342.578424, 154.496152, -466.847068, 334.014538, 78.522957, -411.919204, 0
4.65, 258.613124, 245.178676, -483.640128, 276.650873, 155.603235, -432.254108, 0
4.68, 178.006436, 339.219812, -486.99874, 208.15797, 231.996523, -435.689058, 0
4.71, 90.682524, 392.957604, -473.564292, 135.611826, 296.710981, -429.093954, 0
4.74, 3.358612, 443.336784, -439.978172, 53.722618, 350.914492, -400.721267, 0
4.77, -87.323912, 490.357352, -379.523156, -30.22756, 395.912337, -360.394954, 0
4.8, -184.72366, 510.509024, -305.633692, -110.193196, 423.87283, -312.786547, 0
4.83, -272.047572, 510.509024, -228.385616, -188.92225, 437.475232, -247.522497, 0
4.86, -345.937036, 497.074576, -151.13754, -259.613521, 435.345563, -178.273905, 0
4.89, -396.316216, 476.922904, -53.737792, -321.442621, 416.453338, -100.369239, 0
4.92, -436.61956, 436.61956, 30.227508, -371.386794, 384.851798, -15.869469, 0
4.95, -476.922904, 366.088708, 124.268644, -407.591167, 338.548672, 64.164866, 0
4.98, -493.715964, 282.123408, 221.668392, -430.261837, 282.833783, 145.023589, 0
5.01, -497.074576, 184.72366, 322.426752, -436.650844, 216.264452, 220.455091, 0
5.04, -480.281516, 114.192808, 382.881768, -429.506148, 142.138231, 286.955723, 0
5.07, -439.978172, 33.58612, 419.8265, -406.148488, 63.409177, 344.800281, 0
5.1, -372.805932, -57.096404, 453.41262, -366.028272, -22.189777, 388.286748, 0
5.13, -305.633692, -171.289212, 493.715964, -317.595477, -103.391995, 419.888288, 0
5.16, -221.668392, -265.330348, 503.7918, -256.728163, -179.99138, 434.452476, 0
5.19, -141.061704, -345.937036, 497.074576, -185.899494, -254.254999, 434.86467, 0
5.22, -60.455016, -403.03344, 480.281516, -110.399293, -314.778818, 421.537064, 0
5.25, 33.58612, -436.61956, 426.543724, -27.136105, -366.783961, 388.286748, 0
5.28, 130.985868, -470.20568, 369.44732, 55.577491, -406.560682, 346.24296, 0
5.31, 221.668392, -486.99874, 285.48202, 135.268331, -429.849643, 293.276031, 0
5.34, 308.992304, -486.99874, 201.51672, 212.692104, -439.192707, 225.538817, 0
5.37, 376.164544, -486.99874, 134.34448, 280.29192, -431.42972, 154.778847, 0
