SE RIBEIRO GONÇALVES FID=SEL-421-R117-V0-Z007007-D20060413
23:18,9
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
0, -20.151672, 1185.590036, -1145.286692, 68.767699, 317.251982, -389.660728, 0
0.03, -282.123408, 1289.707008, -990.79054, -10.098753, 362.318526, -354.692937, 0
0.06, -517.226248, 1343.4448, -809.425492, -90.476583, 397.698511, -308.870704, 0
0.09, -732.177416, 1353.520636, -601.191548, -163.366222, 417.415124, -255.216785, 0
0.12, -933.694136, 1303.141456, -362.730096, -231.240834, 419.75089, -188.029163, 0
0.15, -1101.624736, 1215.817544, -104.116972, -291.146362, 404.911906, -114.177738, 0
0.18, -1229.251992, 1084.831676, 167.9306, -344.18199, 377.8445, -33.868607, 0
0.21, -1313.217292, 923.6183, 413.109276, -383.477818, 337.174692, 45.684835, 0
0.24, -1346.803412, 732.177416, 644.853504, -409.789535, 288.123606, 120.704143, 0
0.27, -1336.727576, 510.509024, 849.728836, -422.224054, 229.660757, 191.876307, 0
0.3, -1269.555336, 255.254512, 1037.811108, -414.048873, 159.862573, 254.1863, 0
0.33, -1162.079752, -13.434448, 1182.231424, -393.301775, 82.232703, 312.374353, 0
0.36, -1014.300824, -268.68896, 1289.707008, -361.013245, 2.954057, 360.66975, 0
0.39, -843.011612, -513.867636, 1350.162024, -313.404838, -78.042064, 394.538357, 0
0.42, -634.777668, -735.536028, 1360.23786, -259.613521, -152.099586, 416.247241, 0
0.45, -399.674828, -926.976912, 1316.575904, -195.929548, -218.46282, 418.37691, 0
0.48, -141.061704, -1094.907512, 1235.969216, -120.841541, -280.360619, 404.705809, 0
0.51, 120.910032, -1222.534768, 1101.624736, -43.417768, -333.533645, 379.630674, 0
0.54, 372.805932, -1309.85868, 953.845808, 36.273072, -375.09654, 340.197448, 0
0.57, 607.908772, -1353.520636, 759.046312, 115.139524, -406.423284, 291.558556, 0
0.6, 816.142716, -1340.086188, 534.019308, 186.380387, -419.819589, 232.752212, 0
0.63, 997.507764, -1282.989784, 295.557856, 251.713136, -416.31594, 163.434921, 0
0.66, 1155.362528, -1172.155588, 23.510284, 309.282898, -397.904608, 87.659924, 0
0.69, 1259.4795, -1031.093884, -235.10284, 358.60878, -365.890874, 6.938599, 0
0.72, 1336.727576, -859.804672, -483.640128, 392.95828, -322.129611, -70.553873, 0
0.75, 1353.520636, -644.853504, -712.025744, 414.873261, -269.918371, -144.542696, 0
0.78, 1319.934516, -413.109276, -910.183852, 421.193569, -208.15797, -213.310395, 0
0.81, 1246.045052, -161.213376, -1081.473064, 407.38507, -134.306545, -273.834214, 0
0.84, 1128.493632, 107.475584, -1209.10032, 383.890012, -55.989685, -330.854384, 0
0.87, 960.563032, 359.371484, -1299.782844, 346.792552, 24.113349, -374.272152, 0
0.9, 782.556596, 597.832936, -1360.23786, 296.09269, 103.598092, -404.087518, 0
0.93, 557.529592, 812.784104, -1343.4448, 240.515199, 174.289363, -419.888288, 0
0.96, 325.785364, 990.79054, -1282.989784, 172.43449, 239.553413, -416.041144, 0
0.99, 57.096404, 1145.286692, -1185.590036, 95.285513, 299.115446, -398.316802, 0
1.02, -201.51672, 1256.120888, -1047.886944, 16.968653, 348.166532, -368.707533, 0
1.05, -443.336784, 1330.010352, -873.23912, -63.615274, 386.912768, -325.083668, 0
